zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Male.1,Bachelor's degree > 25,Public transportation
15742,Zip,PA,Banks Township,Indiana,Indiana County,75251,24195,38.3,35.4,0.058359621,0.01179941
15744,Zip,PA,Perry Township,,Jefferson County,62004.58333,20475,29.5,35,0.135416667,0
15745,Zip,PA,Heilwood,Indiana,Indiana County,48200.91667,25809,47.5,49.1,0.120805369,0
15746,Zip,PA,Montgomery Township,Indiana,Indiana County,83109.25,22905,60.3,63.8,0.078947368,0
15747,Zip,PA,South Mahoning Township,Indiana,Indiana County,140288.5,24810,45.5,42.4,0.115849325,0.004700353
15748,Zip,PA,Center Township,Indiana,Indiana County,109947.4167,25428,44.1,48.1,0.120162933,0
15750,Zip,PA,Burrell Township,Indiana,Indiana County,70798,13379,31.9,27.8,0.053719008,0
15752,Zip,PA,Jacksonville,Indiana,Indiana County,78775.33333,,25.1,23.3,0,0
15754,Zip,PA,Lucernemines,Indiana,Indiana County,75639.16667,23795,47.9,55.5,0.07,0
15756,Zip,PA,Jacksonville,Indiana,Indiana County,41590.5,21907,50.7,23.3,0,0
15757,Zip,PA,Bell Township,DuBois,Clearfield County,51348.91667,23401,42.3,46.9,0.061188811,0
15759,Zip,PA,East Mahoning Township,Indiana,Indiana County,136640,25550,42.7,44,0.124023438,0
15761,Zip,PA,Heilwood,Indiana,Indiana County,40602.58333,14565,36.9,28.9,0,0
15764,Zip,PA,Oliver Township,,Jefferson County,138659.6667,24831,53.5,52.4,0.076335878,0
15765,Zip,PA,Cherryhill Township,Indiana,Indiana County,147381.9167,31133,52.1,49.9,0.159055118,0.00896861
15767,Zip,PA,Punxsutawney,,Jefferson County,83102.66667,22810,39.9,44.2,0.124293785,0.007755859
15770,Zip,PA,Ringgold Township,,Jefferson County,93128.5,20423,50.8,42.1,0.037974684,0
15771,Zip,PA,North Mahoning Township,Indiana,Indiana County,133539.25,27157,54.2,52.8,0.105343511,0
15772,Zip,PA,Canoe Township,Indiana,Indiana County,87271.16667,20557,42.3,33.9,0.057639524,0
15774,Zip,PA,Armstrong Township,Indiana,Indiana County,140233,29308,41.7,46.1,0.097419695,0
15776,Zip,PA,Oliver Township,,Jefferson County,93630.16667,25427,53.5,58.4,0.071428571,0
15777,Zip,PA,Green Township,Indiana,Indiana County,51005,29904,53.3,59.4,0.102272727,0
15778,Zip,PA,Timblin,,Jefferson County,47027.33333,21345,29.8,44,0.140625,0
15780,Zip,PA,Perry Township,,Jefferson County,51770,26623,58.5,54.9,0.102362205,0
15781,Zip,PA,Young Township,,Jefferson County,50764.25,26863,38.8,38.6,0.371794872,0
15783,Zip,PA,Young Township,Indiana,Indiana County,60655.25,33421,46.3,43.6,0.077777778,0
15784,Zip,PA,Worthville,,Jefferson County,81936.91667,40935,55.5,57.1,0.152542373,0
15801,Zip,PA,Boggs Township,DuBois,Clearfield County,138815.5833,26764,39.6,46.8,0.144131525,0.004319907
15823,Zip,PA,Horton Township,St. Marys,Elk County,96065.75,26010,43.5,44.8,0.061052632,0
15824,Zip,PA,Snyder Township,,Jefferson County,95109.91667,26322,41.8,46.2,0.104233655,0.004469728
15825,Zip,PA,Brookville,,Jefferson County,99823.25,27767,42.3,45.7,0.130588416,0.00754717
